word,kelime
ed,Ed
success,başarı
wet,ıslak
nah,hayır
amount,miktar
members,üyeler
kate,kate
manage,üstesinden gelmek
safety,emniyet
returned,geri döndü
harder,Daha güçlü
fbi,FBI
block,engellemek
showing,gösteriliyor
fancy,süslü
chef,şef
contract,sözleşme
dig,kazmak
chest,göğüs
good-bye,Güle güle
drinks,içecekler
dave,dave
buried,gömülü
brian,brian
trade,ticaret
journey,seyahat
stomach,karın
changes,değişiklikler
details,detaylar
thoughts,düşünceler
divorce,boşanmak
funeral,cenaze
maria,Maria
football,futbol
reality,gerçeklik
theory,teori
gosh,Tanrım
ruined,harap
gate,geçit
william,William
spread,yaymak
outta,dışarı
japanese,Japonca
sudden,birden
coat,kaban
sooner,daha erken
cheese,peynir
larry,Larry
spring,bahar
page,sayfa
ears,kulaklar
simon,Simon
castle,kale
hidden,gizlenmiş
storm,fırtına
cos,çünkü
personally,kişisel olarak
artist,sanatçı
hill,tepe
exciting,heyecan verici
permission,izin
jerry,Jerry
expensive,masraflı
tickets,biletler
forest,orman
barely,neredeyse
eggs,yumurtalar
goin,gidiyor
regret,pişmanlık
lesson,ders
lover,sevgili
bread,ekmek
andy,andy
subject,ders
legal,yasal
growing,büyüyor
ill,hasta
jason,Jason
mood,mod
owner,mal sahibi
caused,sebep oldu
beeping,bip sesi
points,puan
dating,flört
loss,kayıp
secretary,sekreter
revenge,intikam
santa,Noel Baba
likely,büyük ihtimalle
rent,kira
connection,bağlantı
assistant,asistan
reasons,sebepler
yelling,bağırıyor
painting,tablo
trees,ağaçlar
doctors,doktorlar
rush,acele etmek
foreign,yabancı
rough,kaba 
murderer,katil
century,yüzyıl
nights,geceler
pair,çift
runs,koşuyor
pocket,cep
farm,çiftlik
matt,mat
bike,bisiklet
obvious,bariz
ate,yedi
grew,büyüdü
professional,profesyonel
tim,zaman
goodness,iyilik
parts,parçalar
alan,alan
university,üniversite
square,kare
grandfather,büyükbaba
europe,Avrupa
genius,dahi
cases,vakalar
ruin,mahvetmek
winter,kış
tongue,dil
memories,hatıralar
da,da
buying,satın alma
cancer,kanser
clock,saat
ocean,okyanus
dna,DNA
liar,yalancı
tour,tur
thief,hırsız
bleep,bip sesi
lisa,lisa
rights,haklar
including,içermek
competition,yarışma
smith,demirci
planned,planlanmış
emily,Emily
boring,sıkıcı
victims,kurbanlar
mentioned,adı geçen
bones,kemikler
plant,bitki
bless,korusun
warning,uyarı
knocking,kapıyı çalmak
re,tekrar
crash,kaza
bedroom,yatak odası
lower,daha düşük
silver,gümüş
groaning,inleme
madame,madam
defense,savunma
results,sonuçlar
toilet,tuvalet
event,etkinlik
complicated,karmaşık
shape,şekil
priest,rahip
royal,asil
cheap,ucuz
romantic,romantik
downstairs,alt katta
invite,davet etmek
fortune,talih
tears,göz yaşları
avoid,kaçınmak
reached,ulaşmış
higher,daha yüksek
familiar,aşina
telephone,telefon
burning,yanan
filled,dolu
kelly,Kelly
alice,Alice
airport,havalimanı
jobs,işler
grown,büyümüş
walter,Walter
rachel,rachel
giant,devasa
insurance,sigorta
woods,orman
n,N
scare,korkutmak
pleased,memnun
period,dönem
political,siyasi
player,oyuncu
stops,durur
secrets,sırlar
laura,Laura
repeat,tekrarlamak
photos,fotoğraflar
finds,bulur
statement,ifade
suck,emmek
younger,daha genç
china,Çin
humans,insanlar
delicious,lezzetli
particular,özel
proper,düzgün
rome,Roma
belongs,ait
attacked,saldırıya uğradı
bath,banyo
hired,işe alındı
site,alan
knowledge,bilgi
b,B
led,neden olmuş
guests,misafirler
celebrate,kutlamak
map,harita
horn,korna
eventually,sonunda
pity,acımak
powers,yetkiler
ashamed,utanmış
assume,farz etmek
glasses,gözlük
rise,yükselmek
fixed,sabit
request,rica etmek
officers,memurlar
pounds,pound
data,veri
carefully,dikkatlice
per,başına
depends,bağlı olmak
jury,jüri
waited,bekledim
positive,pozitif
attorney,avukat
direction,yön
families,aileler
clock,saat
doin,yapıyor
forces,kuvvetler
location,konum
walls,duvarlar
useless,kullanışsız
grant,hibe etmek
saving,tasarruf
speaks,konuşuyor
fought,savaştı
meal,yemek
deliver,teslim etmek
answers,cevaplar
changing,değişiyor
temple,tapınak
scary,korkutucu
millions,milyonlarca
offered,teklif edildi
regular,düzenli
carrying,taşıma
official,resmi
jacket,ceket
switch,anahtar
grave,mezar
chase,takip etmek
role,rol
odd,garip
sexy,seksi
faces,yüzler
becomes,olur
closes,kapatır
badly,kötü
tall,uzun
confused,kafası karışmış
affair,mesele
television,televizyon
shock,şok
raised,kabarık
panting,nefes nefese
pizza,pizza
image,görüntü
clears,temizler
golden,altın
patients,hastalar
watched,izledim
committed,bağlılık
sexual,cinsel
suffer,acı çekmek
arthur,Arthur
wherever,her yerde
plate,plaka
appear,belli olmak
chocolate,çikolata
clever,akıllı
hm,hm
mercy,merhamet
shots,çekim
lucy,Lucy
dealing,uğraşmak
trap,tuzak
charges,masraflar
phil,Phil
bang,patlama
poison,zehir
butt,popo
drove,sürdü
yourselves,kendiniz
headed,başlı
babies,bebekler
yellow,sarı
soup,çorba
mystery,gizem
picking,toplama
sat,doygunluk
wound,yara
traffic,trafik
courage,cesaret
hunt,avlamak
indian,Hint
rat,fare
terms,şartlar
italian,İtalyan
emma,Emma
checking,kontrol etmek
disease,hastalık
managed,yönetilen
winner,kazanan
council,konsey
appointment,randevu
monday,Pazartesi
crack,çatırtı
threat,tehdit
jenny,Jenny
physical,fiziksel
nation,ulus
source,kaynak
chose,seçti
healthy,sağlıklı
carl,Carl
victory,zafer
rick,Rick
stood,durmak
kicked,tekmelendi
annie,Annie
disgusting,iğrenç
palace,Saray
below,altında
shopping,alışveriş
neighborhood,komşu
march,mart
lips,dudaklar
midnight,gece yarısı
piss,işemek
advantage,avantaj
pure,saf
india,Hindistan
aside,bir kenara
jerk,sarsmak
mail,posta
dawn,şafak
effect,etki
spell,hecelemek
freak,çatlak
wood,odun
screwed,berbat
enemies,düşmanlar
gary,Gary
awake,uyanmak
chuckling,kıkırdama
vacation,tatil
violence,şiddet
leo,Aslan
grandmother,büyükanne
modern,modern
luke,Luke
firm,firma
prime,astar vurmak
heh,heh
touched,dokundum
talent,yetenek
whore,fahişe
piano,piyano
license,lisans
cooking,yemek pişirmek
honour,onur
concern,kaygı
moves,hamle
available,mevcut
factory,fabrika
gods,tanrılar
value,değer
central,merkezi
union,birlik
mirror,ayna
studio,stüdyo
media,medya
taxi,taksi
dies,ölür
iron,ütü
hearts,kalpler
desire,arzu
rob,soymak
claire,Claire
fred,Fred
songs,şarkılar
washington,Washington
monkey,maymun
pride,gurur
pills,haplar
miracle,mucize
swim,yüzmek
burned,yanmış
smells,kokuyor
joking,şaka
christian,Hıristiyan
bleeding,kanama
hook,kanca
beating,dayak
protection,koruma
treatment,tedavi
ear,kulak
carter,arabacı
metal,maden
disappear,yok olmak
grateful,minnettar
extremely,aşırı boyutta
treasure,hazine
rescue,kurtarmak
capable,yetenekli
passing,geçen
chatter,gevezelik
result,sonuç
suffering,cefa
sisters,kız kardeşler
laid,koydu
governor,Vali
guards,muhafızlar
louis,Louis
text,metin
literally,gerçekten
remove,kaldırmak
becoming,olmak
performance,performans
stronger,daha güçlü
rate,oran
deeply,derinden
scream,bağırmak
desert,çöl
vehicle,araç
illegal,yasa dışı
pulling,çekme
throwing,atma
josh,Josh
unbelievable,inanılmaz
ted,ted
zero,sıfır
dean,dekan
curious,meraklı
sean,Sean
candy,şeker
bone,kemik
tied,bağlı
edge,kenar
load,yük
susan,Susan
ahh,ah
mountains,dağlar
boom,patlama
former,önceki
holiday,tatil
riding,binme
scoffs,alay etmek
hundreds,yüzlerce
motherfucker,orospu çocuğu
sue,dava açmak
bags,çanta
stealing,çalmak
appears,görünür
arrive,varmak
remains,kalıntılar
decent,düzgün
issues,sorunlar
tip,uç
fail,hata
bride,gelin
pissed,kızgın
penny,kuruş
claim,iddia
friendship,dostluk
desperate,çaresiz
flower,çiçek
dramatic,dramatik
refuse,reddetmek
solve,çözmek
theme,tema
loving,sevgi dolu
properly,düzgün bir şekilde
dragon,ejderha
mostly,çoğunlukla
chuck,ayna
directly,doğrudan
surface,yüzey
FALSE,YANLIŞ
cast,döküm
junior,genç
hunting,Avcılık
silent,sessiz
thou,sen
egg,yumurta
germany,Almanya
punch,yumruk
africa,Afrika
woke,uyandım
intelligence,istihbarat
borrow,borç almak
winning,kazanan
falls,Düşme
popular,popüler
escaped,kaçtı
witch,cadı
convinced,ikna edilmiş
warn,uyarmak
announcer,spiker
champagne,şampanya
dust,toz
kyle,kyle
someday,bir gün
fallen,düşmüş
stranger,yabancı
presence,mevcudiyet
tear,göz yaşı
st.,st.
internet,internet
monsieur,mösyö
therefore,Öyleyse
technology,teknoloji
tires,lastikler
toast,tost
wise,bilge
clark,Clark
americans,Amerikalılar
notes,notlar
smoking,sigara içmek
hank,çile
ls,ls
april,nisan
wolf,kurt
precious,değerli
rooms,odalar
coast,sahil
treated,işlem görmüş
material,malzeme
released,piyasaya sürülmüş
uniform,üniforma
hated,nefret edilen
considered,dikkate alınan
rice,pirinç
exchange,değişme
steps,adımlar
blake,Blake
convince,ikna etmek
beast,canavar
cow,inek
files,dosyalar
signs,işaretler
drag,sürüklemek
cab,taksi
hung,asılı
carried,taşınan
ordinary,sıradan
successful,başarılı
eve,havva
mistakes,hatalar
houses,evler
chattering,Gevezelik
brains,beyin
japan,Japonya
creature,yaratık
fourth,dördüncü
separate,ayırmak
cleaning,temizlik
california,Kaliforniya
lf,eğer
ll,LL
shift,vardiya
elizabeth,Elizabeth
chicago,Chicago
exact,bire bir aynı
karen,karen
goal,amaç
expert,uzman
served,servis edildi
direct,doğrudan
score,Gol
row,sıra
marks,işaretler
twenty,yirmi
receive,almak
series,seri
section,bölüm
pilot,pilot
jackson,Jackson
darkness,karanlık
thy,senin
sale,satış
destiny,kader
cure,tedavi
spoken,konuşulan
armed,silahlı
rare,nadir
helen,Helen
grade,seviye
juice,meyve suyu
wide,geniş
tower,kule
solution,çözüm
schedule,takvim
explosion,patlama
wheel,teker
cigarette,sigara
julie,Julie
fruit,meyve
blew,patladı
victor,galip
talks,görüşmeler
sacrifice,kurban etmek
range,menzil
button,düğme
reports,raporlar
prisoner,mahkum
pie,turta
effort,çaba
youth,gençlik
pot,saksı
eaten,yemiş
taylor,Taylor
knees,dizler
garage,garaj
parking,otopark
ambulance,ambulans
staring,bakıyor
chances,şans
circumstances,durumlar
sin,günah
gordon,Gordon
progress,ilerlemek
unusual,olağan dışı
county,kontluk
stairs,merdiven
campaign,kampanya
mon,pazartesi
vision,görüş
reporter,muhabir
equipment,teçhizat
moments,anlar
joey,joey
mass,yığın
alien,yabancı
trapped,kapana kısılmış
helps,yardımcı olur
route,rota
defend,savunmak
trace,iz
nasty,edepsiz
tests,testler
magazine,dergi
rocks,kayalar
dump,çöplük
rude,kaba
searching,arama
clue,ipucu
connected,bağlı
amen,amin
pushed,itti
merry,şen
zone,alan
senior,kıdemli
closing,kapanış
freeze,dondurmak
emperor,imparator
incident,olay
snake,yılan
mexico,Meksika
lily,zambak
actor,aktör
newspaper,gazete
sentence,cümle
greg,Greg
leading,lider
friendly,arkadaşça
jones,Jones
chosen,seçilmiş
engaged,nişanlı
julia,Julia
charming,alımlı
mustn,yapılmalı
anger,kızgınlık
spending,harcama
learning,öğrenme
spy,casus
sharp,keskin
shadow,gölge
warrant,garanti
elevator,asansör
kingdom,krallık
ricky,riskli
jamie,Jamie
squad,takım
shoulder,omuz
wave,dalga
amanda,amanda
highness,Majesteleri
kinds,çeşitler
fishing,balıkçılık
sometime,bazen
attitude,davranış
sucks,berbat
negative,negatif
screen,ekran
workers,işçiler
bored,sıkılmış
cameras,kameralar
similar,benzer
understanding,anlayış
beeps,bip sesleri
chain,zincir
bull,boğa
gasping,nefes nefese
fully,tamamen
robin,ardıç kuşu
collect,TOPLAMAK
gorgeous,muhteşem
morgan,morgan
passion,tutku
writer,yazar
empire,imparatorluk
international,uluslararası
curse,küfür
hire,kiralamak
bastards,piçler
puts,koyar
leads,potansiyel müşteriler
id,İD
blows,darbeler
sons,oğullar
estate,emlak
customers,müşteriler
maggie,maggie
gunshot,ateşli silah
i-,Ben-
device,cihaz
troops,birlikler
hug,sarılmak
design,tasarım
movement,hareket
thunder,gök gürültüsü
object,nesne
loser,beceriksiz
pen,dolma kalem
sobbing,hıçkırarak ağlayan
politics,politika
despite,aksine
alcohol,alkol
climb,tırmanmak
clients,müşteriler
conference,konferans
provide,sağlamak
marty,şehit
seek,aramak
witnesses,tanıklar
earn,para kazanmak
trash,çöp
valley,vadi
fashion,moda
howard,Howard
episode,bölüm
prize,ödül
previously,önceden
sports,spor
wanting,istemek
debt,borç
wishes,dilekler
hitler,Hitler
wire,tel
thee,sana
circle,daire
approach,yaklaşmak
stock,stoklamak
facts,gerçekler
remembered,hatırladım
percent,yüzde
normally,normalde
tail,kuyruk
joined,katıldı
education,eğitim
bravo,Bravo
library,kütüphane
rape,tecavüz
wings,kanatlar
growling,hırıltı
thrown,atılmış
tank,tankı
exhales,nefes verir
authority,yetki
current,akım
failure,arıza
nightmare,kabus
hitting,vurmak
glory,görkem
knocked,kapıyı çaldı
studying,ders çalışıyor
barry,Barry
agency,ajans
apple,elma
border,sınır
rope,halat
duck,ördek
reputation,itibar
confidence,kendinden emin
yard,bahçe
beloved,sevgili
lack,eksiklik
actual,gerçek
skills,yetenekler
films,filmler
mental,zihinsel
salt,tuz
flesh,et
anne,anne
secure,güvenli
highly,son derece
federal,federal
sand,kum
emotional,duygusal
setting,ayar
nothin,hiçbir şey
senator,senatör
services,hizmetler
robbery,soygun
hates,nefret ediyor
fed,beslenen
reward,ödül
theater,tiyatro
johnson,Johnson
commit,işlemek
patrick,Patrick
entirely,tamamen
extraordinary,olağanüstü
ships,gemiler
opposite,zıt
parties,partiler
stands,standlar
terry,havlu kumaş
chat,sohbet
events,olaylar
mummy,mumya
bay,koy
slip,kayma
disappointed,hayal kırıklığına uğramış
settled,yerleşik
begins,başlar
andrew,Andrew
alert,uyarı
detail,detay
pink,pembe
fellas,arkadaşlar
accepted,kabul edildi
background,arka plan
garbage,çöp
panic,panik
minds,zihinler
belt,kemer
blowing,üfleme
hollywood,Hollywood
agreement,anlaşma
jackie,jackie
pushing,iterek
ability,yetenek
tiger,kaplan
whispering,Fısıldayan
culture,kültür
saint,aziz
jesse,jesse
task,görev
solid,sağlam
doll,oyuncak bebek
intend,niyet etmek
district,semt
pa,baba
gee,vay be
custody,velayet
ignore,görmezden gelmek
naturally,doğal olarak
useful,kullanışlı
attempt,girişim
abandoned,terk edilmiş
cutting,kesme
kissed,öptüm
guarantee,garanti
barking,havlıyor
gather,toplamak
policy,politika
u.s.,biz.
violent,şiddetli
maid,hizmetçi
embarrassing,utandırıcı
childhood,çocukluk
wasting,israf
bow,yay
chick,piliç
sara,Sara
disaster,felaket
revolution,devrim
online,çevrimiçi
f,F
demon,şeytan
heavily,ağır bir şekilde
coincidence,tesadüf
perform,rol yapmak
thin,ince
terrific,müthiş
mac,mac
crown,taç
identity,kimlik
virgin,bakir
impressive,etkileyici
windows,pencereler
no-one,hiç kimse
potential,potansiyel
guitar,gitar
committee,komite
dozen,düzine
delivery,teslimat
advance,ilerlemek
quietly,sessizce
stan,stan
teaching,öğretim
hunter,avcı
latest,en sonuncu
hurting,acı verici
swing,sallanmak
capital,başkent
counting,sayma
drew,çizdi
dirt,kir
whistle,düdük
marie,Marie
hits,isabetler
doug,doug
deny,reddetmek
urgent,acil
threatened,tehdit edildi
behavior,davranış
molly,molly
mixed,karışık
stays,kalır
assure,garanti etmek
subtitles,altyazılar
explanation,açıklama
wins,kazanır
unique,eşsiz
chasing,avcılık
billion,milyar
duke,dük
production,üretme
slave,köle
agents,ajanlar
carol,ilahi
lets,hadi
cruel,acımasız
mask,maske
sally,sally
behave,davranmak
bury,gömmek
massive,cüsseli
pathetic,acınası
species,türler
approaching,yaklaşıyor
jo,jo
loan,borç
struggle,çabalamak
dish,tabak
trusted,güvenilir
jumped,atladı
firing,ateşleme
channel,kanal
abby,abby
stopping,Durmak
asks,sorar
jean,kot pantolon
swimming,yüzme
daily,günlük
basement,bodrum
linda,linda
quarter,çeyrek
erm,ımm
bound,bağlı
navy,donanma
article,madde
guide,rehber
accused,sanık
transfer,aktarma
guts,cesaret
quality,kalite
fella,dostum
roman,Roma
greater,daha büyük
damned,lanet olsun
couch,kanepe
cheer,tezahürat
vegas,Vegas
shoe,ayakkabı
title,başlık
shy,utangaç
punishment,ceza
los,kaybettim
clicks,tıklamalar
you,Sen
closet,dolap
bye-bye,güle güle
fever,ateş
coward,korkak
flash,flaş
impressed,etkilenmiş
bruce,Bruce
siren,siren
prisoners,mahkumlar
sides,taraflar
bowl,tas
katie,katie
supply,tedarik
sensitive,hassas
hopefully,umutla
rolling,yuvarlamak
roy,roy
dollar,dolar
tone,ton
voices,sesler
g,G
i,Ben
cheating,hile
confess,itiraf etmek
demand,talep etmek
museum,müze
unknown,bilinmiyor
drama,dram
suspicious,şüpheli
adult,yetişkin
todd,todd
frightened,korkmuş
warned,uyardı
steady,sabit durmak
kills,öldürür
crossed,geçti
lou,Lou
particularly,özellikle
sandwich,sandviç
laws,kanunlar
joint,eklem yeri
bullets,mermiler
package,paket
trained,eğitimli
thursday,Perşembe
boots,çizmeler
possibility,olasılık
albert,Albert
civil,sivil
june,haziran
germans,Almanlar
baseball,beyzbol
express,ifade etmek
miserable,acınası
tuesday,Salı
parker,parkçı
lion,aslan
joseph,Joseph
refused,reddedildi
shine,parlamak
assault,saldırı
hong,Hong
jokes,şakalar
breaks,molalar
argue,tartışmak
you-,Sen-
trail,iz
option,seçenek
recall,hatırlamak
mighty,güçlü
collection,koleksiyon
oliver,zeytin
wilson,Wilson
accent,aksan
believes,inanıyor
decisions,kararlar
embarrassed,utanmış
mobile,mobil
customer,müşteri
terribly,korkunç derecede
sec,saniye
charity,hayır kurumu
considering,göz önünde bulundurarak
pussy,kedi
donna,donna
protecting,korumak
flag,bayrak
kidnapped,kaçırıldı
italy,İtalya
balance,denge
creatures,yaratıklar
nuclear,nükleer
wallet,cüzdan
shout,bağırmak
vincent,Vincent
entered,girildi
impression,izlenim
angela,Angela
jay,alakarga
degrees,derece
favour,iyilik
reaction,tepki
network,ağ
jessica,Jessica
version,versiyon
concert,konser
gear,vites
singer,şarkıcı
diamond,elmas
defeat,yenmek
steven,Steven
lane,Lane
blast,büyük patlama
wounded,yaralı
anytime,her zaman
partners,ortaklar
ages,yaşlar
charlotte,Charlotte
ceremony,tören
league,lig
bars,barlar
orange,turuncu
specific,özel
conditions,koşullar
plastic,plastik
crisis,kriz
fifth,beşinci
term,terim
self,öz
offering,sunan
bud,tomurcuk
suffered,acı çekti
reported,rapor edildi
commissioner,komiser
rip,Huzur içinde yatsın
mysterious,gizemli
entrance,giriş
messed,berbat
tunnel,tünel
designed,tasarlanmış
neighbor,komşu
aboard,gemide
sweat,ter
justin,Justin
ghosts,hayaletler
crimes,suçlar
costs,maliyetler
deserves,hak ediyor
dreaming,rüya görmek
bust,baskın yapmak
el,el
teddy,oyuncak
kong,kong
messages,mesajlar
enjoying,zevk almak
afterwards,daha sonrasında
comfort,konfor
mason,mason
surrender,teslim olmak
gym,spor salonu
kitty,kedicik
crush,ezmek
yup,Evet
arranged,düzenlenmiş
suits,takım elbise
pee,işemek
stress,stres
cave,mağara
wing,kanat
jordan,Ürdün
arrange,düzenlemek
comrade,yoldaş
noble,soylu
tricks,hileler
betty,Betty
launch,öğle yemeği
legend,efsane
mix,karışım
golf,golf
imagination,hayal gücü
fox,tilki
kissing,öpüşmek
butter,tereyağı
tax,vergi
gross,brüt
edward,Edward
texas,Teksas
insist,ısrar etmek
marcus,Marcus
classic,klasik
selfish,bencil
skull,kafatası
frankie,Frankie
shown,gösterilen
bat,yarasa
survived,hayatta kaldı
print,baskı
champion,şampiyon
bills,faturalar
therapy,terapi
lifetime,ömür boyu
throughout,boyunca
a.m.,sabah
nathan,Nathan
toward,karşı
sauce,sos
experiment,deney
margaret,Margaret
describe,betimlemek
ross,gül
grass,çimen
cheat,aldatmak
attend,katılmak
homework,Ev ödevi
lewis,Lewis
betrayed,ihanete uğramış
servant,hizmetkar
cap,kap
tyler,Tyler
bible,İncil
practically,pratik olarak
catherine,Catherine
steel,çelik
wipe,silip süpürmek
burns,yanıklar
j,J
generation,nesil
cabin,kabin
financial,mali
industry,endüstri
bond,bağlamak
sheep,koyun
scientists,bilim adamları
beaten,dövülmüş
heck,kahretsin
deck,güverte
fans,hayranlar
script,senaryo
brand,marka
degree,derece
painful,acı verici
coughing,öksürük
religion,din
cats,kediler
stephen,Stephen
influence,etkilemek
fuel,yakıt
drawing,çizim
uh-oh,ah-ah
rabbit,tavşan
exercise,egzersiz yapmak
attractive,çekici
touching,dokunmak
virus,virüs
realise,fark etmek
torture,işkence
blessed,kutsanmış
plain,ova
rebecca,rebecca
recent,son
barbara,Barbara
footsteps,ayak sesleri
sacred,kutsal
removed,kaldırıldı
pretending,rol yapmak
wasted,heba olmuş
jewish,Yahudi
goodnight,iyi geceler
robot,robot
crystal,kristal
confirm,onaylamak
lad,delikanlı
mile,mil
division,bölüm
scratch,çizik
reminds,hatırlatır
walks,yürüyüşler
ending,bitiş
russia,Rusya
contest,yarışma
valuable,değerli
distant,mesafe
dumped,terkedilmiş
motion,hareket
electricity,elektrik
centre,merkez
murders,cinayetler
tina,tina
jeremy,jeremy
seal,fok
standard,standart
ellen,Ellen
wore,giydi
surrounded,çevrili
struck,vurmak
inform,bilgi vermek
gentle,nazik
status,durum
purse,el çantası
prints,baskılar
players,oyuncular
charged,ücretlendirildi
begging,yalvarıyor
delivered,teslim edilmiş
kenny,Kenny
buck,para
nina,Nina
construction,yapı
confirmed,onaylandı
confession,itiraf
trigger,tetiklemek
cells,hücreler
frankly,açıkçası
ali,Ali
exit,çıkış
response,cevap
cancel,iptal etmek
argument,argüman
principal,müdür
turkey,Türkiye
lucas,Lucas
clinic,klinik
greetings,selamlar
neighbors,komşular
vice,mengene
toy,oyuncak
hannah,Hannah
everyday,Her gün
generous,cömert
gain,kazanmak
idiots,aptallar
holly,kutsal
enjoyed,keyif aldım
jungle,orman
link,bağlantı
underground,yeraltı
smiling,gülümseyen
mistress,metresi
teams,takımlar
product,ürün
beef,biftek
whispers,fısıltılar
religious,din
presents,hediyeler
identify,tanımlamak
chip,çip
chffffff,şffffff
surveillance,gözetim
carlos,Carlos
vampire,vampir
routine,rutin
uses,kullanır
michelle,michelle
underneath,altında
systems,sistemler
temperature,sıcaklık
waves,dalgalar
tribe,kabile
brad,dostum
deputy,milletvekili
sophie,sophie
headquarters,karargah
equal,eşit
phones,telefonlar
ken,Ken
reckon,tahmin temek
related,ilgili
incredibly,inanılmaz derecede
chill,sakin olmak
spit,tükürmek
tracks,Parçalar
oscar,oscar
makeup,makyaj yapmak
bug,böcek
sounded,ses çıkardı
spirits,alkollü içkiler
nerve,sinir
divorced,boşanmış
stake,hisse
port,liman
doorbell,kapı zili
worries,endişeler
nephew,yeğen
miller,değirmenci
units,birimler
just-,Sadece-
proceed,ilerlemek
landing,iniş
traitor,hain
outfit,kıyafet
chloe,Chloe
bail,kefaletle serbest bırakmak
fields,alanlar
patience,sabır
recording,kayıt
foolish,aptalca
loaded,yüklü
tokyo,Tokyo
davis,davis
costume,kostüm
wayne,Wayne
injured,yaralı
somethin,bir şey
ian,Ian
pet,evcil hayvan
cage,kafes
digging,kazma
spain,İspanya
seats,koltuklar
awkward,garip
cleaned,temizlenmiş
pattern,model
filthy,pis
visiting,ziyaret
jews,Yahudiler
answering,cevap vermek
concentrate,konsantre olmak
someplace,bir yerde
citizens,vatandaşlar
aim,amaç
nancy,Nancy
affairs,işler
thick,kalın
sport,spor
basic,temel
electric,elektrik
pleasant,güzel
cliff,uçurum
nail,çivi
russell,russell
environment,çevre
western,batılı
average,ortalama
ease,kolaylaştırmak
raped,tecavüze uğradı
interrupt,yarıda kesmek
judy,Judy
satisfied,memnun
beep,bip sesi
starving,açlıktan ölme
documents,belgeler
anniversary,yıl dönümü
beth,beth
election,seçim
warrior,savaşçı
r,R
forth,ileri
fetch,gidip getirmek
banks,bankalar
placed,yerleştirilmiş
timing,zamanlama
stones,taşlar
complex,karmaşık
frozen,dondurulmuş
replace,yer değiştirmek
prayer,namaz
skip,atlamak
angeles,melekler
guilt,suçluluk
tune,melodi
woo,woo
actions,eylemler
conscience,vicdan
officially,resmen
martha,martha
machines,makineler
smaller,daha küçük
determined,azimli
blown,şişmiş
hail,dolu
unhappy,mutsuz
booth,çardak
pour,dökmek
berlin,Berlin
cleared,temizlendi
packed,paketlenmiş
wrap,dürüm
randy,Azgın
behalf,adına
reasonable,mantıklı
trunk,gövde
homes,evler
festival,festival
tradition,gelenek
cigarettes,sigaralar
le,le
beside,yanında
harvey,harvey
motive,sebep
beings,varlıklar
bishop,piskopos
dealer,satıcı
defendant,sanık
backup,yedekleme
wounds,yaralar
ouch,ah
ann,anne
nearby,yakında
drank,içti
effects,etkiler
jonathan,Jonathan
dennis,dennis
benefit,fayda
adventure,macera
p,P
territory,bölge
ve,ve
apology,özür
dylan,Dylan
unlike,farklı
owns,sahip
boxes,kutular
thus,Böylece
clay,kil
developed,gelişmiş
busted,yakalanmış
pipe,boru
gray,gri
no.,HAYIR.
goods,mal
favourite,favori
salad,salata
loyal,sadık
atmosphere,atmosfer
eva,eva
freaking,kahrolası
dropping,düşürmek
strangers,yabancılar
mouse,fare
downtown,şehir merkezi
francisco,Francisco
heroes,kahramanlar
pit,çukur
rotten,çürük
paradise,cennet
meantime,bu arada
jess,Jess
organization,organizasyon
hills,tepeler
exam,sınav
cock,horoz
fairy,peri
earl,kont
comment,Yorum
activity,aktivite
frame,çerçeve
knight,şövalye
testing,test
habit,alışkanlık
shelter,barınak
flow,akış
jennifer,Jennifer
holes,delikler
prevent,önlemek
anthony,Anthony
lend,ödünç vermek
cooper,bakır
figures,rakamlar
boston,boston
sample,örnek
strip,şerit
landed,indi
buzzing,uğultu
monk,keşiş
slightly,biraz
produce,üretmek
annoying,sinir bozucu
judgment,yargı
laundry,çamaşır
ron,Ron
lousy,berbat
souls,ruhlar
existence,varoluş
belly,karın
tries,çalışır
foster,bakmak
returning,geri dönüyor
answered,cevaplandı
ward,koğuş
plants,bitkiler
actress,aktris
chairman,başkan
individual,bireysel
hopes,umutlar
tattoo,dövme
fence,çit
sink,atmak
punk,punk
confident,kendinden emin
yay,yay
mistaken,yanılmış
limit,sınır
bothering,rahatsız edici
st,st
uncomfortable,rahatsız
wednesday,Çarşamba
gifts,hediyeler
policeman,polis
na,hayır
precisely,açık olarak
lawyers,avukatlar
greek,Yunan
merely,sadece
criminals,suçlular
underwear,iç çamaşırı
hoped,umdum
earned,kazanılmış
reveal,ortaya çıkarmak
appeared,göründü
derek,derek
heavens,gökler
personality,kişilik
batman,Batman
virginia,Virginia
wives,eşler
colour,renk
worker,işçi
pope,papa
instructions,talimatlar
intelligent,zeki
worrying,endişe verici
vince,Vince
comin,geliyor
cried,ağladı
traveling,seyahat
bells,çanlar
x,X
impact,darbe
robbed,soyuldu
relief,rahatlama
host,ev sahibi
footage,görüntüleri
odds,ihtimaller
patrol,devriye
circus,sirk
mud,çamur
captured,yakalandı
lessons,dersler
occasion,fırsat
sets,setleri
pulse,nabız
ad,reklam
invented,icat edilmiş
diamonds,elmaslar
matthew,Matta
auntie,teyze
cloud,bulut
francis,francis
angels,melekler
hers,onun
classes,sınıflar
mm-hm,mm-hm
signature,imza
complain,şikayet etmek
blah,filan
monitor,monitör
options,seçenekler
claims,iddialar
flies,sinekler
pat,okşamak
britain,Britanya
hid,saklandı
wailing,feryat
listened,dinledim
